"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2018 - Next Release Date July 27, 2018"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","        Information processing equipment",422.183,431.403,434.478,443.842,470.374,462.026,460.428,464.949,470.331,483.686,507.117,512.986,517.586,515.101,508.071,496.315,478.589,470.500,458.156,434.458,428.352,424.848,428.338,431.947,422.031,412.437,414.710,421.115,448.471,452.940,445.546,427.917,422.441,424.164,433.349,438.066,425.212,404.996,388.576,377.479,365.019,359.881,355.046,347.208,339.321,325.681,309.046,295.730,277.080,249.190,224.912,195.955,173.801,162.890,149.230,139.348,129.742,123.737,118.255,112.515,108.351,103.644,100.000,98.322,97.127,95.236,93.548,90.874,88.046,86.778,85.785
"11","            Computers and peripheral equipment","---","---","---","---","---","---","---","---","---","---","---","---",755989.279,593570.088,438509.198,311056.361,204300.007,170899.943,141215.660,98982.178,80422.922,68628.773,62138.190,55815.091,42498.130,34278.946,32499.912,26534.998,24546.148,20500.724,17840.338,12067.393,9999.091,7804.036,6858.437,6173.201,5146.729,4163.808,3539.787,3049.288,2597.304,2412.554,2252.823,2044.054,1836.292,1567.117,1331.668,1171.121,980.096,747.403,576.170,428.065,333.314,291.687,241.498,209.756,187.539,174.007,153.434,134.346,120.591,108.738,100.000,96.005,92.053,90.106,89.378,89.232,88.485,87.100,86.726
"12","            Other3",50.368,51.468,51.835,52.952,56.117,55.121,54.931,55.470,56.112,57.706,60.501,61.201,61.790,61.868,61.904,61.698,62.052,62.474,62.535,63.264,65.183,66.888,69.127,71.646,74.204,76.047,77.545,82.475,90.210,94.399,95.160,99.059,101.937,109.439,117.049,122.578,125.992,128.729,130.644,133.941,137.197,139.053,140.827,142.523,144.309,145.796,145.464,144.679,143.438,141.226,139.455,133.330,127.691,124.443,120.126,116.314,110.490,106.769,105.866,104.497,103.681,101.596,100.000,99.312,99.274,97.405,95.333,91.689,88.114,86.882,85.697
"13","        Industrial equipment",8.856,9.597,10.058,10.470,11.808,11.883,12.220,12.446,12.901,14.249,15.315,15.677,16.033,16.353,16.218,16.217,16.268,16.413,16.658,17.100,17.843,18.592,19.221,20.176,21.077,21.507,22.112,24.192,29.156,31.598,34.465,37.485,41.165,46.521,50.964,53.391,54.487,55.096,56.011,58.561,61.088,63.834,66.153,69.324,71.795,73.386,74.390,75.906,78.496,80.125,80.671,81.126,81.598,82.053,82.587,82.619,83.241,85.282,88.455,91.213,94.543,98.693,100.000,101.055,103.941,105.824,106.249,106.868,106.522,106.078,107.084
"14","        Transportation equipment",15.503,16.611,17.380,17.689,18.811,19.934,19.189,20.034,19.640,21.561,22.531,22.857,23.334,23.298,23.248,22.997,22.890,22.689,22.628,22.605,22.972,23.608,24.325,25.491,26.756,27.330,27.626,30.197,33.570,35.978,38.772,42.266,45.893,50.711,54.489,56.955,57.809,58.411,60.175,63.941,64.950,65.662,67.895,70.889,74.521,76.094,76.442,78.567,78.723,80.839,82.982,83.309,83.673,83.665,83.392,84.648,86.626,90.192,90.725,91.380,92.759,93.178,100.000,93.112,95.004,97.348,99.043,100.358,102.018,103.284,104.887
"15","        Other equipment4",11.101,11.999,12.444,12.726,13.759,13.863,14.133,14.343,14.501,15.007,15.737,16.107,16.356,16.586,16.593,16.767,16.885,17.037,17.193,17.586,18.178,18.856,19.526,20.232,21.205,21.804,22.270,24.244,29.474,31.646,34.430,37.276,40.509,45.455,50.551,54.149,55.361,56.412,57.556,59.370,60.878,62.676,65.248,67.838,70.063,71.587,72.840,74.063,75.589,77.617,78.589,79.752,80.787,81.307,82.462,83.151,83.907,84.558,88.156,90.149,91.979,94.341,100.000,97.187,98.427,101.383,102.389,103.481,105.111,105.258,105.760
"16","    Intellectual property products",22.372,23.532,23.574,24.126,25.609,25.933,26.386,26.558,27.238,28.257,29.155,29.861,30.347,30.810,31.010,31.161,31.201,31.682,31.905,32.389,32.883,34.032,35.531,37.225,38.587,39.738,41.705,45.598,49.258,51.435,53.693,56.488,60.243,64.895,69.739,73.699,76.451,78.594,79.901,80.523,81.965,84.520,85.586,86.456,88.505,87.461,88.068,88.422,90.901,91.212,91.725,91.320,93.074,96.128,96.408,95.408,95.193,95.110,95.987,97.509,99.181,100.827,100.000,100.541,101.883,102.967,103.755,104.779,105.753,104.966,105.640
"17","        Software5","---","---","---","---","---","---","---","---","---","---","---","---",154.802,146.754,144.152,138.615,133.361,134.452,131.030,126.852,125.248,125.413,126.548,128.643,125.580,123.352,125.731,130.634,136.123,136.428,137.755,134.708,138.687,142.113,147.229,151.143,149.629,147.086,144.507,139.244,138.270,136.727,129.976,125.459,124.929,114.520,113.784,110.031,109.370,106.756,103.676,100.580,101.835,104.890,105.347,103.485,101.092,98.635,98.183,99.378,100.000,100.904,100.000,99.107,99.272,99.183,99.706,99.484,98.770,97.884,97.827
"18","        Research and development6",15.582,16.615,16.331,16.948,18.442,18.593,18.807,18.717,19.058,19.816,20.267,20.523,20.889,21.050,21.039,21.052,20.996,21.097,20.957,21.059,21.185,21.631,22.463,23.387,24.305,25.139,26.672,29.818,32.387,34.088,35.924,38.192,41.424,45.675,49.823,53.429,56.056,58.309,59.480,60.336,61.598,64.518,66.474,68.016,70.014,71.715,72.606,74.155,77.978,79.056,81.437,82.691,84.672,87.829,87.601,86.997,88.444,90.542,92.997,95.101,98.000,100.938,100.000,102.461,105.635,108.270,109.593,112.185,115.231,113.952,115.380
"19","        Entertainment, literary, and artistic originals",11.917,12.340,12.615,12.729,13.098,13.355,13.733,14.121,14.667,15.151,15.920,16.682,16.902,17.467,17.867,18.170,18.437,19.186,20.063,21.072,22.014,23.746,25.419,27.467,29.236,30.561,31.669,33.521,36.650,38.620,40.224,43.230,45.186,47.395,50.270,52.183,54.796,57.013,59.744,62.317,64.844,67.459,71.318,74.657,78.852,79.819,81.075,83.235,85.560,87.896,88.907,89.051,91.195,93.766,95.192,95.522,96.641,97.416,97.928,98.790,100.145,100.137,100.000,99.405,99.069,99.548,99.592,100.328,101.411,102.766,104.123
