gvkey,fyear,TFP
1025,1980,.5725363
1025,1981,-.2071929
1025,1982,-.8297468
1026,1972,-.3522498
1026,1973,-.4123941
1026,1974,-.4059716
1026,1975,-.3539056
1026,1976,-.3934657
1027,1966,-.1774521
1027,1967,-.3633466
1028,1985,-.1812631
1028,1986,-.0541585
1028,1987,-.1122876
1028,1988,-.0895553
1028,1989,-.5623204
1030,1976,-.2134565
1030,1977,-.1782952
1030,1978,-.2196563
1030,1979,-.2763188
1030,1980,-.3999964
1030,1981,-.5354807
1030,1982,-.8729591
1030,1983,-.7158856
1030,1984,-.6949973
1031,1970,-.651632
1031,1971,-.3833648
1031,1972,-.4471493
1031,1973,-.5036847
1031,1974,-.1517762
1032,1977,-1.025894
1032,1978,-.7263954
1032,1979,-.8004537
1032,1980,-.7284709
1032,1981,-1.00393
1032,1982,-.762188
1033,1977,-.9059876
1033,1978,-.9193796
1033,1979,-1.820272
1034,1986,-.3051782
1034,1987,-.3231392
1034,1988,-.2322667
1034,1989,-.1700093
1034,1990,-.2167033
1034,1991,-.5515439
1034,1992,-.5089922
1034,1993,-.5862593
1034,1994,-.6486526
1034,1995,-.4060115
1034,1996,-.5888752
1034,1997,-.3783047
1034,1998,-.3691204
1034,1999,-.4002788
1034,2000,-.0915461
1034,2001,-.3878843
1034,2002,-.463058
1034,2003,-.5375399
1034,2004,-.5513148
1034,2005,-.123065
1034,2006,-.1745796
1034,2007,-.9910017
1036,1981,.0662225
1036,1982,-.1265086
1036,1983,-.5838265
1036,1984,-.4246838
1036,1985,-.3322024
1036,1986,-.3849865
1036,1987,-.2815421
1036,1988,-.0966021
1036,1989,-.3635031
1036,1990,-.2621886
1036,1991,-.3755045
1036,1992,-.2018751
1036,1993,-.215421
1036,1994,-.204327
1036,1995,-.0996102
1036,1996,-.2230156
1036,1997,-.2555226
1036,1998,-.1844496
1036,1999,-.1656237
1036,2000,-.152813
1037,1982,-.3051008
1037,1983,-1.876463
1038,1995,.0362036
1038,1996,-.1139873
1038,1997,-.0527131
1038,1998,-.0308237
1038,1999,-.0898883
1038,2000,-.2691014
1038,2002,-.3167872
1038,2003,-.3410819
1039,1968,-.1753281
1039,1969,-.2061083
1039,1970,-.3858403
1039,1971,-.3074791
1039,1972,-.212963
1039,1973,-.1596617
1039,1974,-.3328742
1039,1975,-.4073456
1039,1976,-.3290826
1039,1977,-.2818176
1039,1978,-.3440732
1040,1965,-.170978
1040,1966,-.2133447
1040,1967,-.2003541
1040,1968,-.2526939
1040,1969,-.2554147
1040,1970,-.1580573
1040,1971,-.063005
1040,1972,-.1710813
1040,1973,-.2689458
1040,1974,-.3228283
1040,1975,-.357695
1040,1976,-.3017023
1040,1977,-.131739
1040,1978,-.1986385
1040,1979,-.2129333
1040,1980,-.0506017
1040,1981,-.2623809
1040,1982,-.2878166
1040,1983,-.508781
1040,1984,-.4119664
1041,1970,-.0770724
1041,1971,-.3181699
1041,1972,-.3774599
1043,1970,-.2993425
1043,1971,-.390328
1043,1972,-.3558416
1043,1973,-.3051702
1043,1974,-.4779794
1043,1975,-.4385273
1043,1976,-.4455104
1043,1977,-.5635855
1043,1978,-.4611707
1043,1979,-.4482373
1043,1980,-.4283572
1043,1981,-.7795699
1043,1982,-.246737
1043,1983,-.5277724
1043,1984,-.4102239
1043,1985,-.4203828
1043,1986,-.3708358
1043,1987,-.5057406
1043,1988,-.6082968
1043,1989,-.4013886
1043,1990,-.533778
1043,1991,-.5159459
1043,1992,-1.079662
1043,1993,-1.031578
1043,1994,-.5603716
1043,1995,-.5055075
1043,1996,-1.090753
1043,1997,-.7942518
1043,1998,-.6368951
